index,word
220,出馬
221,出力
222,出航
223,処分
224,所属
225,署名
226,書籍
227,女史
228,助教授
229,助手
230,助言
231,助詞
232,序列
233,徐行
234,承知
235,昇進
236,昇格
237,勝敗
238,商業
239,商社
240,商談
241,商売
242,商標
243,商品券
244,小児科
245,小数
246,少数派
247,消化
248,消極的
249,消耗
250,消耗品
251,消去
252,笑顔満面
253,照会
254,照合
255,照明
256,照射
257,照準
258,上演
259,上空
260,上昇
261,上達
262,上流
263,上陸
264,常識
265,状況
266,状態
267,条件
268,乗客
269,乗車
270,乗車券
271,乗組員
272,乗船
273,乗馬
274,乗用車
275,植民地
276,植物園
277,職員
278,職業
279,職人
280,職務
281,職場
282,職歴
283,食欲不振
284,食卓
285,食中毒
286,食料品
287,信仰
288,信者
289,信条
290,信任
291,信念
292,信用取引
293,信頼性
294,侵入
295,侵略
296,針路
297,人格
298,人工的
299,人種差別
300,賛成
301,人通り
302,人材
303,人造
304,人体
305,人文
306,人命
307,図鑑
308,図形
309,図書
310,図表
311,垂直
312,推測
313,推定
314,推薦
315,遂行
316,随筆
317,数値
318,数列
319,数量
320,姿勢
321,思想
322,指揮
323,指数
324,指摘
325,指南
326,指導
327,詩集
328,試作品
329,試行
330,試写
331,試食
332,試練
333,刺激
334,資金
335,資源
336,資産
337,資本
338,飼育
339,施設
340,視察
341,視点
342,視野
343,私有
344,司会
345,事柄
346,事態
347,事典
348,事項
349,事務局
350,事例
351,時刻
352,時点
353,時効
354,自衛
355,自我
356,自覚
357,自給
358,自己
359,自主
360,自然界
361,自治体
362,辞職
363,弱点
364,取引
365,就職
366,出発
367,出版
368,承認
369,招待
370,詳細
371,象徴
372,推薦状
373,制限
374,制度
375,責任
376,世紀
377,存在
378,収穫
379,収入
380,収容
381,重要
382,宿泊
383,出身
384,出場
385,処理
386,商品
387,消費
388,消防
389,証拠
390,証明
391,人権
392,人事
393,人生
394,人類
395,人物
396,水準
397,水平
398,指定
399,資格
400,視覚
401,私立
402,詩人
403,試合
404,試験
405,試作
406,自然
407,自治
408,自動
409,自発
410,需要
411,住民
412,女優
413,情景
414,情熱
415,情報
416,条例
417,上位
418,上記
419,上司
420,上手
421,上品
422,上流階級
423,上陸作戦
424,乗り換え
425,信用
426,信頼
427,精算
428,精神
429,生命
430,成果
431,成功
432,成熟
433,成就
434,成績
435,成長
436,正確
437,正式
438,政策
439,政治
440,政党
441,整備
442,整理
443,成立
444,生涯
445,生活
446,生産
447,生存
448,生態
449,生物
450,青年
451,静止
452,静的
453,赤字
454,赤道
455,接触
456,接続
457,設計
458,設置
459,設定
460,設備
461,設立
462,節約
463,説得
464,説明
465,絶望
466,絶滅
467,絶対
468,選挙
469,選手
470,選択
471,専攻
472,専門
473,宣言
474,宣伝
475,戦後
476,戦術
477,戦場
478,戦争
479,戦闘
480,戦略
481,戦力
482,前提
483,前途
484,前半
485,全員
486,全国
487,全身
488,全体
489,全般
490,全力
491,増加
492,増減
493,増大
494,増築
495,増量
496,増税
497,造船
498,造林
499,造花
500,促進
501,即座
502,即時
503,速度
504,速達
505,測定
506,属する
507,尊敬
508,尊重
509,損害
510,損失
511,損得
512,退院
513,退学
514,退社
515,退職
516,退場
517,退治
518,退去
519,退化
520,体系
521,体格
522,体験
523,体重
524,体調
525,対象
526,対策
527,対照
528,対立
529,滞在
530,怠慢
531,胎児
532,大気
533,大差
534,大使
535,大衆
536,大戦
537,大地
538,大陸
539,大半
540,大部分
541,代表
542,代理
543,代用
544,台地
545,台本
546,大木
547,大家
548,大幅
549,大量
550,直後
551,直前
552,直線
553,直通
554,直感
555,追加
556,通過
557,通行
558,通常
559,通知
560,通訳
561,通用
562,通路
563,提案
564,提供
565,提出
566,停止
567,停車
568,停電
569,展開
570,展示
571,展望
572,典型
573,天候
574,天然
575,登場
576,登録
577,投票
578,投資
579,投書
580,到着
581,冬季
582,灯台
583,当日
584,当時
585,当選
586,同一
587,同意
588,同感
589,同情
590,同僚
591,同様
592,動機
593,動作
594,動詞
595,動力
596,動脈
597,導入
598,童話
599,道徳
600,特技
601,特急
602,特殊
603,特定
604,特徴
605,得意
606,得点
607,突然
608,届け
609,努力
610,農家
611,農業
612,能力
613,派手
614,配達
615,破壊
616,判断
617,犯罪
618,反省
619,反対
620,販売
621,比較
622,批判
623,批評
624,美術
625,必死
626,必要
627,表現
628,表情
629,表示
630,評価
631,評判
632,評論
633,貧困
634,貧乏
635,不安
636,不可
637,不幸
638,不思議
639,不自由
640,不十分
641,不正
642,不足
643,不注意
644,不明
645,不要
646,夫人
647,婦人
648,武士
649,武道
650,部首
651,部分
652,部品
653,部下
654,部長
655,服装
656,物価
657,物質
658,物語
659,文化
660,文学
661,文書
662,文法
663,文明
664,分野
665,文章
666,分析
667,分布
668,分類
669,平和
670,平等
671,平日
672,平均
673,兵士
674,変化
675,返事
676,返信
677,変更
678,変動
679,便利
680,弁護士
681,貿易
682,防止
683,防災
684,防犯
685,冒険
686,方向
687,方法
688,法律
689,豊富
690,保険
691,保護
692,保存
693,保証
694,保守
695,募集
696,募金
697,無料
698,無視
699,無理
700,未来
701,味方
702,見解
703,見積もり
704,見舞い
705,見本
706,命令
707,命
708,迷惑
709,名刺
710,名所
711,名物
712,名門
713,明確
714,明細
715,面積
716,面接
717,面倒
718,免許
719,木材
720,木綿
721,目安
722,目印
723,目標
724,目的
725,文字
726,目録
727,木曜
728,目次
729,目立つ
730,目撃
731,目薬
732,目覚まし
733,問い合わせ
734,問題点
735,問答
736,野球
737,役員
738,役所
739,役立つ
740,約束
741,薬品
742,薬局
743,優勝
744,勇気
745,有効
746,有名
747,有料
748,郵便
749,郵便局
750,夕方
751,夕食
752,夕刊
753,夕日
754,夕立
755,夕焼け
756,誘惑
757,輸入
758,輸出
759,余計
760,余分
761,余裕
762,予想
763,予測
764,予定
765,予約
766,予防
767,喜び
768,世代
769,世界
770,世間
771,世論
772,呼吸
773,読書
774,読者
775,喜劇
776,企業
777,企画
778,期間
779,機嫌
780,機構
781,機関
782,機能
783,危険
784,危機
785,規模
786,記録
787,記憶
788,議員
789,議会
790,議長
791,議論
792,技師
793,技能
794,技術
795,義務
796,行政
797,行為
798,銀
799,銀行
800,金額
801,金庫
802,金銭
803,金属
804,金融
805,具合
806,具体
807,偶然
808,経営
809,経験
810,経済
811,経由
812,経歴
813,傾向
814,警告
815,警察
816,警備
817,警戒
818,景気
819,景色
820,芸術
821,芸能
822,欠陥
823,欠席
824,欠点
825,結果
826,結局
827,結合
828,結婚
829,結論
830,血液
831,決意
832,決心
833,決定
834,決断
835,決勝
836,建設
837,建築
838,建物
839,健康
840,検査
841,検討
842,限界
843,限定
844,現金
845,現在
846,現実
847,現場
848,現象
849,現代
850,現れる
851,減少
852,個人
853,個性
854,故郷
855,故障
856,誤解
857,後悔
858,語学
859,語彙
860,効果
861,効率
862,興奮
863,高価
864,高級
865,高度
866,高速
867,高齢
868,国会
869,国家
870,国際
871,国籍
872,国境
873,国語
874,国内
875,国民
876,国立
877,国連
878,黒板
879,心臓
880,心理
881,信号
882,神経
883,真剣
884,真実
885,真面目
886,進化
887,進行
888,進出
889,進歩
890,申請
891,申し込む
892,人間
893,人口
894,人種
895,人数
896,水道
897,水分
898,数字
899,数学
900,数える
901,随分
902,睡眠
903,正解
904,性格
905,成人
906,世界的
907,石油
908,接近
909,前者
910,前進
911,前日
912,全然
913,増える
914,増す
915,想像
916,相当
917,相手
918,相違
919,相続
920,相変わらず
921,相互
922,総合
923,相談
924,操作
925,掃除
926,送信
927,送金
928,送料
929,創造
930,総理
931,速力
932,素材
933,素晴らしい
934,素直
935,素質
936,組合
937,組織
938,祖先
939,組立
940,外交
941,外出
942,外国
943,外国人
944,外科
945,外見
946,外食
947,外部
948,学科
949,学会
950,学期
951,学級
952,学校
953,学者
954,学習
955,学生
956,学説
957,学長
958,学部
959,学問
960,学力
961,楽器
962,楽しみ
963,落下
964,落第
965,観察
966,観光
967,観客
968,観点
969,観念
970,管理
971,感覚
972,感謝
973,感情
974,感動
975,感想
976,慣習
977,慣例
978,寛容
979,監督
980,関心
981,関税
982,関連
983,環境
984,環状
985,環境問題
986,環境保護
987,規則
988,規律
989,規約
990,規制
991,記載
992,記述
993,記念
994,記録的
995,技量
996,義理
997,義務教育
998,議論会
999,既成
1000,既成事実
1001,基地
1002,基準
1003,基盤
1004,基本方針
1005,期待値
1006,帰国
1007,帰省
1008,帰属
1009,帰着
1010,記憶力
1011,記号
1012,記録保持
1013,貴重
1014,期限
1015,起床
1016,起点
1017,企業家
1018,企業文化
1019,企画書
1020,企画力
1021,起業
1022,輝く
1023,群衆
1024,軍事
1025,軍隊
1026,系統
1027,契機
1028,契約
1029,敬意
1030,警戒心
1031,警告音
1032,警備隊
1033,警報器
1034,劇場
1035,劇団
1036,劇的
1037,欠点補強
1038,決意表明
1039,決算
1040,決勝戦
1041,決定権
1042,結晶
1043,結束
1044,結論付ける
1045,潔白
1046,建設的
1047,建築士
1048,建造物
1049,憲法
1050,権利義務
1051,健在
1052,健全
1053,検出
1054,検討課題
1055,検定試験
1056,検証
1057,限定版
1058,現象学
1059,現地
1060,現状
1061,現実的
1062,現場検証
1063,現代史
1064,現代社会
1065,現代文学
1066,現代美術
1067,言語学
1068,言論
1069,個性派
1070,個人的
1071,個別化
1072,個体
1073,固有
1074,固定
1075,固定観念
1076,国境線
1077,国際化
1078,国際的
1079,国際会議
1080,国際関係
1081,国際条約
1082,国際問題
1083,国際連合
1084,国土
1085,国防
1086,国民性
1087,国民的
1088,国有
1089,国家主義
1090,国家権力
1091,国家資格
1092,国家試験
1093,国庫
1094,穀物
1095,骨格
1096,混合
1097,混雑
1098,混乱
1099,混在
1100,混血
1101,混同
1102,混成
1103,混迷
1104,混入
1105,混乱状態
1106,混乱期
1107,混沌
1108,混声
1109,最悪
1110,最強
1111,最高
1112,最終
1113,最小
1114,最新
1115,最前線
1116,最適
1117,最低
1118,最中
1119,最良
1120,最長
1121,最短
1122,最優先
1123,裁判
1124,裁判所
1125,採点
1126,採用
1127,採取
1128,採択
1129,採算
1130,材料
1131,財産
1132,財政
1133,財務
1134,作成
1135,作戦
1136,作者
1137,作物
1138,作法
1139,作曲家
1140,作詞
1141,削減
1142,搾取
1143,雑音
1144,雑誌
1145,雑談
1146,雑用
1147,雑貨
1148,雑草
1149,雑種
1150,酸化
1151,酸素
1152,酸性
1153,産出
1154,産地
1155,産卵
1156,産婦人科
1157,産物
1158,産業界
1159,散策
1160,散布
1161,散乱
1162,散会
1163,散髪
1164,残高
1165,残金
1166,残酷
1167,残留
1168,残像
1169,残存
1170,残念
1171,残業代
1172,残暑
1173,残雪
1174,残虐
1175,賛同
1176,賛美
1177,賛否
1178,賛助
1179,賛歌
1180,酸素吸入
1181,四角形
1182,支援
1183,支給
1184,支店
1185,支配
1186,支部
1187,指名
1188,指紋
1189,著者
1190,著名
1191,貯金
1192,貯蔵
1193,直角
1194,電子
1195,電池
1196,電波
1197,電力
1198,保育
1199,戻す
1200,求める
1201,物音
1202,物置
1203,物事
1204,物差し
1205,物足りない
1206,物忘れ
1207,物理
1208,物流
1209,夜間
1210,夜行
1211,夜空
1212,夜更かし
1213,輸血
1214,輸送
1215,輸出入
1216,郵送
1217,郵便物
1218,有能
1219,有力
1220,有利
1221,有料道路
1222,有名人
1223,優先
1224,優勝者
1225,優秀
1226,優良
1227,勇敢
1228,友情
1229,友好
1230,予感
1231,予期
1232,予算
1233,予知
1234,予防接種
1235,予想外
1236,了承
1237,理解
1238,理想
1239,理念
1240,理論
1241,利益
1242,利口
1243,利害
1244,利用者
1245,利用料
1246,利便性
1247,率直
1248,立場
1249,立派
1250,立法
1251,略語
1252,略称
1253,流行
1254,流通
1255,流域
1256,流星
1257,流速
1258,留守
1259,留守番
1260,留学生
1261,留意
1262,留年
1263,両替
1264,両親
1265,両立
1266,両面
1267,緑地
1268,臨時
1269,臨床
1270,輪
1271,類似
1272,冷静
1273,冷淡
1274,冷却
1275,冷房
1276,例外
1277,礼儀
1278,列島
1279,列車
1280,連休
1281,連合
1282,連続
1283,連想
1284,連帯
1285,連中
1286,連盟
1287,連絡
1288,露出
1289,老化
1290,老人
1291,労働
1292,労力
1293,労災
1294,労組
1295,録音
1296,論議
1297,論文
1298,論理
1299,論争
1300,論点
1301,論述
1302,論証
1303,和解
1304,和風
1305,和平
1306,和服
1307,我慢
1308,我流
1309,しんどい
1310,優しい
1311,怪しい
1312,もったいない
1313,ひどい
1314,ありがたい
1315,新しい
1316,懐かしい
1317,眠い
1318,慌ただしい
1319,騒がしい
1320,おかしい
1321,厳しい
1322,緩い
1323,薄い
1324,暑い
1325,寒い
1326,涼しい
1327,暖かい
1328,爽やか
1329,のんびり
1330,きちんと
1331,ちゃんと
1332,すぐに
1333,大体
1334,ほとんど
1335,きっと
1336,わざと
1337,たいてい
1338,特に
1339,全く
1340,一生懸命
1341,ゆっくり
1342,そっくり
1343,ぴったり
1344,しっかり
1345,じっくり
1346,そろそろ
1347,どんどん
1348,だんだん
1349,ますます
1350,すっかり
1351,ふと
1352,つい
1353,うっかり
1354,じっと
1355,しばらく
1356,ずっと
1357,いきなり
1358,ついに
1359,確かに
1360,多分
1361,恐らく
1362,まさか
1363,なるべく
1364,非常に
1365,とても
1366,割と
1367,かなり
1368,結構
1369,よほど
1370,いくらでも
1371,なんとなく
1372,なんとか
1373,今さら
1374,今にも
1375,未だに
1376,今や
1377,今どき
1378,今ごろ
1379,真っ先に
1380,思い切り
1381,思わず
1382,ふんわり
1383,ぎりぎり
1384,ばったり
1385,ぴかぴか
1386,ぼんやり
1387,しみじみ
1388,じろじろ
1389,きらきら
1390,ぐっすり
1391,のんき
1392,のろのろ
1393,はっきり
1394,ほっと
1395,わくわく
1396,どきどき
1397,いらいら
1398,今後
1399,今朝
1400,今夜
1401,今晩
1402,今日中
1403,明日中
1404,明後日
1405,そのうち
1406,この間
1407,この頃
1408,最近
1409,将来
1410,昔ながら
1411,当たり前
1412,普通
1413,特別
1414,当然
1415,大丈夫
1416,本当
1417,嘘
1418,本気
1419,元気
1420,安心
1421,安全
1422,危ない
1423,怖い
1424,恥ずかしい
1425,寂しい
1426,悲しい
1427,嬉しい
1428,楽しい
1429,面白い
1430,いい加減
1431,丁寧
1432,雑
1433,豊か
1434,貧しい
1435,忙しい
1436,退屈
1437,不満
1438,幸せ
1439,大切
1440,短気
1441,長所
1442,短所
1443,馬鹿
1444,ずるい
1445,卑怯
1446,正直
1447,臆病
1448,意地悪
1449,賢い
1450,賢明
1451,偉い
1452,凄い
1453,適当
1454,不適切
1455,合理的
1456,感情的
1457,論理的
1458,情熱的
1459,親切
1460,無礼
1461,礼儀正しい
1462,親しい
1463,仲良し
1464,孤独
1465,単純
1466,複雑
1467,簡単
1468,難しい
1469,詳しい
1470,大雑把
1471,慎重
1472,用心深い
1473,強力
1474,弱々しい
1475,頑丈
1476,丈夫
1477,柔らかい
1478,硬い
1479,固い
1480,緩やか
1481,激しい
1482,穏やか
1483,荒い
1484,粗末
1485,豪華
1486,地味
1487,下品
1488,質素
1489,豪快
1490,見事
1491,魅力的
1492,快適
1493,心地よい
1494,不快
1495,居心地
1496,居心地悪い
1497,美しい
1498,醜い
1499,可愛い
1500,格好いい
1501,格好悪い
1502,不器用
1503,器用
1504,無駄
1505,無意味
1506,不利
1507,不平等
1508,公平
1509,不公平
1510,寛大
1511,厳格
1512,柔軟
1513,頑固
1514,素朴
1515,洗練
1516,独特
1517,特有
1518,一般的
1519,具体的
1520,抽象的
1521,明らか
1522,真っ赤
1523,真っ青
1524,真っ白
1525,真っ黒
1526,賑やか
1527,静か
1528,効果的
1529,積極的
1530,的確
1531,強引
1532,適切
1533,短縮
1534,適応
1535,不便
1536,安価
1537,長期的
1538,短期的
1539,限定的
1540,基本的
1541,永遠
1542,一時的
1543,恒常的
1544,効率的
1545,不得意
1546,不明確
1547,明白
1548,明瞭
1549,複合的
1550,単独
1551,集団的
1552,地域的
1553,社会的
1554,公的
1555,私的
1556,公式
1557,非公式
1558,主観的
1559,客観的
1560,積極性
1561,消極性
1562,中立的
1563,承諾
1564,拒否
1565,提携
1566,改善
1567,改革
1568,解釈
1569,解決
1570,許可
1571,許可証
1572,認可
1573,判定
1574,解説
1575,根拠
1576,理由
1577,条約
1578,原則
1579,構造
1580,構成
1581,要素
1582,要因
1583,要件
1584,条件付き
1585,仮定
1586,判断力
1587,認識
1588,知識
1589,教養
1590,領域
1591,地域
1592,地方
1593,都市
1594,田舎
1595,農村
1596,工業
1597,産業
1598,供給
1599,市場
1600,不況
1601,発展
1602,向上
1603,低下
1604,下降
1605,拡大
1606,保持
1607,保管
1608,対応
1609,反応
1610,活動
1611,行動
1612,実行
1613,実施
1614,運営
1615,運用
1616,統制
1617,分担
1618,協力
1619,協調
1620,連携
1621,報告
1622,忠告
1623,注文
1624,依頼
1625,要望
1626,希望
1627,願望
1628,期待
1629,要請
1630,意見
1631,客観
1632,判断基準
1633,標準
1634,規準
1635,模範
1636,手本
1637,実例
1638,場合
1639,事実
1640,実態
1641,事情
1642,理由付け
1643,理屈
1644,根本
1645,本質
1646,性質
1647,属性
1648,役割
1649,作用
1650,影響
1651,結末
1652,方針
1653,意図
1654,計画
1655,案件
1656,事業
1657,任務
1658,任務遂行
1659,権力
1660,援助
1661,救助
1662,救援
1663,援護
1664,担保
1665,あいにく
1666,協約
1667,合意
1668,認定
1669,承諾書
1670,認証
1671,証書
1672,許可証明
1673,記名
1674,表記
1675,溢れる
